reporting_year,substance_name,total_quantity
2010,Cadmium (and its compounds),973962.8491999999
2010,Selenium (and its compounds),38493.6279
2010,Cobalt (and its compounds),4645.8671
2011,Lead (and its compounds),36661616.112899944
2011,Arsenic (and its compounds),24754419.64769999
2011,Cadmium (and its compounds),2329430.649799999
2011,Selenium (and its compounds),1017165.1045000001
2011,Cobalt (and its compounds),4447.289600000001
2012,Lead (and its compounds),36554213.81370002
2012,Arsenic (and its compounds),21440002.759899996
2012,Selenium (and its compounds),872429.9438000001
2012,Cadmium (and its compounds),770179.9547000005
2012,Cobalt (and its compounds),4859.720499999999
2013,Lead (and its compounds),24937503.005599998
2013,Arsenic (and its compounds),21454125.646099996
2013,Selenium (and its compounds),1388568.7550999995
2013,Cadmium (and its compounds),674292.7284999994
2013,Cobalt (and its compounds),6460.187500000002
2014,Arsenic (and its compounds),20653668.19179998
2014,Lead (and its compounds),18513531.435599986
2014,Selenium (and its compounds),1409161.7214
2014,Cadmium (and its compounds),1185339.7594999997
2014,Cobalt (and its compounds),6821.134599999999
2015,Arsenic (and its compounds),25022657.038799994
2015,Lead (and its compounds),19256852.824600022
2015,Selenium (and its compounds),1149310.6708000002
2015,Cadmium (and its compounds),1105373.3260999997
2015,Cobalt (and its compounds),6277.316099999998
2016,Arsenic (and its compounds),23582992.97970001
2016,Lead (and its compounds),23243491.940100003
2016,Cobalt (and its compounds),9728434.092799997
2016,Cadmium (and its compounds),1493336.4854999993
2016,Selenium (and its compounds),1206662.9386999998
2017,Arsenic (and its compounds),24655455.7122
2017,Lead (and its compounds),24011019.282500006
2017,Cobalt (and its compounds),10787072.346500002
2017,Cadmium (and its compounds),1616729.8514000005
2017,Selenium (and its compounds),1367247.3193000006
2018,Arsenic (and its compounds),33253786.37039998
2018,Lead (and its compounds),23198173.475000013
2018,Cobalt (and its compounds),10907473.648800002
2018,Cadmium (and its compounds),1775713.7140000004
2018,Selenium (and its compounds),1321177.0925
2019,Arsenic (and its compounds),56145018.11234197
2019,Lead (and its compounds),36964988.17486598
2019,Cobalt (and its compounds),11794822.207821995
2019,Cadmium (and its compounds),1574928.5777279995
2019,Selenium (and its compounds),1097977.622513
2020,Arsenic (and its compounds),66558866.80337199
2020,Lead (and its compounds),21728192.938401993
2020,Cobalt (and its compounds),11596359.139894994
2020,Cadmium (and its compounds),1712686.1236080008
2020,Selenium (and its compounds),1019404.6680090002
2021,Arsenic (and its compounds),71793107.04240097
2021,Lead (and its compounds),18195988.436708
2021,Cobalt (and its compounds),12652791.333577003
2021,Cadmium (and its compounds),1667522.949637001
2021,Selenium (and its compounds),1001860.2033560001
2022,Arsenic (and its compounds),64898837.14395001
2022,Lead (and its compounds),18770304.742321998
2022,Cobalt (and its compounds),12611254.333547
2022,Cadmium (and its compounds),2203173.6750379982
2022,Selenium (and its compounds),1046529.5070320001
